year,gdp_growth_rate,gdp,gdp_per_capita,capital_investment,household_consumption,inflation,exports,imports,foreign_investments,net_equity_inflow,current_account_balance,trade_balance,foreign_exchange_reserves,net_payment_error_balance,country_id,government spending as percent of gdp,gov_spend,gov_debt,tax_revenue,foreign_aid_assistance,economic_growth_forecast,investment_forecast,inflation_forecast,liability_liquid,assets_bank,credit_bank_to_gov,population,population_growth,life_expectancy,globalization_index,economic_gi,political_gi,social_gi,energy,income_natural_resources,electricity_access,renewable_pg,fossil_pg,wind_pg,solar_pg,hydro_pg,nuclear_pg,geo_pg,labour_force,unemplyment_rate,s&p,moodys,fitch,yield
1995,9.61,566.58,12564.78,220.68,294.41,4.5,145.75,151.5,2.49,4218.9,-10.23,-8.4,32.8,-1287.3,166,10.04,56.88,8.66,12.99,57.0,9.62,38.95,4.75,35.23,47.46,1.52,45.09,1.01,73.7,58.46,37.16,72.76,65.46,3210.13,0.03,100.0,2.98,123.18,0.0,0.0,2.73,63.68,0.0,21.4,2.06,BBB-,Aaa ,B- ,
1996,7.89,610.17,13403.05,240.55,324.91,4.9,151.33,169.94,2.78,5953.6,-24.46,-21.98,34.16,993.2,166,10.39,63.4,7.98,13.23,-148.9,7.89,39.42,4.93,36.33,50.37,1.29,45.52,0.95,74.15,59.41,36.17,75.87,66.2,3454.85,0.02,100.0,2.81,138.39,0.0,0.0,2.4,70.23,0.0,21.8,2.05,BBB-,Aaa ,B- ,
1997,6.17,569.75,12398.48,211.88,304.24,4.4,161.5,166.24,3.3,2525.0,-10.81,-7.99,20.47,-6973.8,166,10.21,58.17,11.4,12.9,-159.65,6.17,37.19,6.57,37.55,55.72,1.51,45.95,0.94,74.6,61.46,38.85,78.63,66.89,3726.16,0.02,100.0,2.87,154.25,0.0,0.0,2.78,73.23,0.0,22.34,2.61,BBB-,Ba1,B- ,
1998,-5.13,383.33,8281.7,106.49,192.87,7.5,151.56,111.02,5.99,3856.2,40.11,42.5,52.1,-6585.1,166,11.4,43.71,15.3,12.62,-50.37,-5.13,27.78,3.97,48.13,62.13,2.81,46.29,0.72,75.0,64.63,48.41,78.33,67.13,3377.64,0.04,100.0,4.3,136.11,0.0,0.0,4.24,85.21,0.0,22.03,6.96,B+,Baa2,BB+ ,
1999,11.47,497.51,10672.42,154.29,261.75,0.8,162.14,135.18,10.73,12072.2,21.78,26.49,74.11,-3470.0,166,11.08,55.11,17.1,12.79,-55.1,11.47,31.01,1.36,55.68,68.73,3.83,46.62,0.71,75.41,65.3,46.5,79.58,69.83,3708.71,0.02,100.0,4.23,120.57,0.01,0.01,4.12,97.91,0.0,22.33,6.34,B+,Baa2,A+,
2000,9.06,576.18,12256.99,189.53,314.02,2.3,195.55,185.28,11.51,13093.6,10.18,14.55,96.25,-693.4,166,10.9,62.8,17.1,14.26,-198.14,9.06,32.89,2.78,63.39,74.01,3.83,47.01,0.84,75.91,68.48,51.96,82.18,71.3,4002.67,0.02,100.0,4.09,164.91,0.02,0.01,3.97,103.52,0.0,22.82,4.06,B+,Baa2,A+,7.18
2001,4.85,547.66,11561.25,173.08,303.4,4.1,174.09,166.69,6.52,10265.7,2.17,7.14,102.88,6187.6,166,11.76,64.38,17.2,13.55,-111.33,4.85,31.6,3.16,66.13,78.73,10.04,47.37,0.77,76.41,69.4,52.43,83.79,71.98,4033.32,0.03,100.0,4.24,181.16,0.01,0.01,4.11,106.53,0.0,23.2,3.7,B+,Baa2,A+,7.01
2002,7.73,627.25,13165.07,195.03,351.86,2.8,186.75,179.27,5.48,395.3,4.07,8.59,121.5,1502.7,166,11.74,73.65,17.0,13.25,-81.91,7.73,31.09,3.73,66.12,84.54,8.46,47.64,0.58,76.77,69.12,49.57,84.54,73.26,4170.48,0.02,100.0,3.45,194.78,0.02,0.01,3.2,113.15,0.0,23.65,3.05,B+,Baa2,A+,5.77
2003,3.15,702.72,14672.86,226.83,379.94,3.5,220.64,209.25,7.01,14418.5,11.31,17.29,155.47,5420.5,166,12.15,85.39,19.8,13.69,-461.6,3.15,32.28,3.42,66.11,86.13,8.22,47.89,0.52,77.21,69.28,49.89,84.5,73.45,4233.49,0.03,100.0,5.13,195.84,0.03,0.01,4.85,123.19,0.0,23.68,3.35,B+,Baa2,A+,5.43
2004,5.2,793.17,16496.12,258.17,409.23,3.6,291.53,263.82,13.29,9468.8,29.29,34.12,199.2,4759.8,166,12.39,98.25,22.4,12.97,-71.54,5.2,32.55,3.04,60.55,81.17,9.03,48.08,0.4,77.67,71.48,56.57,83.73,74.16,4332.67,0.02,100.0,4.71,217.27,0.05,0.01,4.29,124.18,0.0,24.17,3.42,B+,Baa2,A+,3.85
