year,gdp_growth_rate,gdp,gdp_per_capita,capital_investment,household_consumption,inflation,exports,imports,foreign_investments,net_equity_inflow,current_account_balance,trade_balance,foreign_exchange_reserves,net_payment_error_balance,country_id,government spending as percent of gdp,gov_spend,gov_debt,tax_revenue,foreign_aid_assistance,economic_growth_forecast,investment_forecast,inflation_forecast,liability_liquid,assets_bank,credit_bank_to_gov,population,population_growth,life_expectancy,globalization_index,economic_gi,political_gi,social_gi,energy,income_natural_resources,electricity_access,renewable_pg,fossil_pg,wind_pg,solar_pg,hydro_pg,nuclear_pg,geo_pg,labour_force,unemplyment_rate,s&p,moodys,fitch,yield
2020,3.57,365.25,3569.21,50.38,313.49,5.0,47.87,75.43,,-1996.9,-14.24,-32.38,38.97,-2618.3,52,7.92,28.94,89.65,,,3.57,13.74,5.69,84.55,89.69,,102.33,1.92,,,,,,,,100.0,,,4.0,1.5,,,0.0,29.08,9.17,B,B1,B,
1992,,,,,,,,,0.08,0.0,0.04,-0.05,0.2,-4.37,56,,,,,104.37,,,,,,,1.53,-1.82,68.86,52.11,67.43,31.24,57.67,4283.16,,100.0,0.0,11.12,0.0,0.0,0.0,0.0,0.0,0.75,3.68,BBB+,Baa1,AAA,
1993,,,,1.04,2.34,89.8,2.57,2.73,0.17,0.1,0.02,-0.07,0.39,-45.8,56,,0.83,,,42.31,,25.74,,,,19.46,1.49,-2.57,67.91,54.83,69.34,34.57,60.58,3639.27,1.02,100.0,0.0,8.57,0.0,0.0,0.0,0.0,0.0,0.73,6.54,BBB+,Baa1,AAA,
1994,,,,1.11,2.42,47.7,2.85,3.26,0.22,8.37,-0.17,-0.25,0.45,30.36,56,,0.96,,,43.81,-1.64,26.6,,,,19.48,1.46,-2.14,66.5,56.92,69.77,38.39,62.58,3752.39,1.57,100.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.72,7.56,BBB+,Baa1,AAA,
1995,,4.5,3134.39,1.19,2.52,28.8,2.97,3.3,0.21,9.87,-0.16,-0.29,0.58,18.2,56,24.57,1.11,8.0,22.84,58.05,2.16,26.41,28.87,,17.11,22.72,1.44,-1.79,67.54,62.7,72.24,51.84,64.01,3624.43,1.69,100.0,0.01,8.16,0.0,0.0,0.0,0.0,0.0,0.7,9.66,BBB+,Baa1,AAA,
1996,4.94,4.79,3380.93,1.32,2.77,23.1,2.93,3.43,0.17,172.25,-0.4,-0.5,0.64,-29.84,56,22.62,1.08,7.5,21.85,59.37,4.94,27.49,12.94,,22.96,21.06,1.42,-1.48,69.61,65.42,76.22,53.71,66.34,4043.29,1.8,100.0,0.01,8.55,0.0,0.0,0.0,0.0,0.0,0.69,9.92,BBB+,Baa1,AAA,
1997,13.05,5.15,3682.95,1.58,2.99,10.6,3.63,4.16,0.27,127.81,-0.56,-0.53,0.76,-25.19,56,20.41,1.05,6.9,21.97,65.91,13.05,30.73,10.97,,32.85,24.27,1.4,-1.14,69.81,69.54,81.94,58.3,68.38,4010.92,1.81,100.0,0.01,8.66,0.0,0.0,0.0,0.0,0.0,0.7,10.37,BBB+,Baa1,A+,
1998,4.34,5.67,4093.39,1.79,3.26,8.2,4.18,4.72,0.6,25.74,-0.48,-0.55,0.81,0.18,56,20.7,1.17,5.9,22.11,90.99,4.34,31.62,5.12,,32.69,18.75,1.39,-0.96,69.36,70.26,82.26,58.42,70.12,3695.17,1.6,100.0,0.02,7.99,0.0,0.0,0.0,0.0,0.0,0.68,9.51,BBB+,Baa1,A+,
1999,-0.43,5.76,4140.94,1.49,3.23,3.3,4.02,4.27,0.33,235.36,-0.29,-0.31,0.86,-9.85,56,21.93,1.26,6.4,20.92,83.62,-0.43,25.9,3.67,,32.88,21.66,1.39,0.29,70.06,71.19,82.28,59.93,71.37,3462.77,1.87,100.0,0.02,7.76,0.0,0.0,0.0,0.0,0.0,0.67,11.57,BBB+,Baa1,A+,
2000,10.09,5.69,4070.61,1.62,3.09,4.0,3.5,3.69,0.42,-28.48,-0.3,-0.18,0.92,2.74,56,19.56,1.11,5.1,19.69,63.83,10.09,28.48,5.04,,37.27,20.52,1.4,0.48,70.42,72.72,82.94,61.69,73.53,3374.71,2.3,100.0,0.02,7.98,0.0,0.0,0.01,0.0,0.0,0.68,13.36,BBB+,Baa1,A+,
2001,6.0,6.25,4505.86,1.85,3.43,5.7,3.83,4.08,0.59,31.87,-0.32,-0.13,0.82,-6.18,56,18.63,1.17,4.8,19.22,68.5,6.0,29.58,4.21,,40.43,24.92,1.39,-0.64,70.26,74.0,84.12,63.5,74.39,3541.51,2.2,100.0,0.02,7.97,0.0,0.0,0.01,0.0,0.0,0.67,13.13,BBB+,Baa1,A+,
2002,6.77,7.37,5341.63,2.43,4.08,3.6,4.27,4.82,0.34,53.34,-0.78,-0.52,1.0,44.88,56,18.18,1.34,5.7,19.63,54.41,6.77,32.94,2.7,,46.35,31.16,1.38,-0.63,70.9,73.68,82.05,64.24,74.75,3415.78,1.74,100.0,0.03,8.06,0.0,0.0,0.01,0.0,0.0,0.65,10.03,BBB+,Baa1,A+,
2003,7.6,9.87,7203.52,3.48,5.46,1.3,5.64,6.48,1.04,127.76,-1.28,-0.84,1.38,94.22,56,17.85,1.76,5.6,19.83,84.3,7.6,35.2,1.19,,52.51,32.58,1.37,-0.63,71.32,74.83,82.95,65.32,76.21,3798.04,1.62,100.0,0.05,9.56,0.01,0.0,0.01,0.0,0.0,0.68,11.29,A-,Baa1,A+,
2004,6.8,12.15,8914.1,4.21,6.73,3.0,7.42,8.37,1.09,183.03,-1.46,-0.95,1.79,-85.6,56,17.37,2.11,5.1,20.23,135.43,6.8,34.66,4.8,37.81,42.14,1.87,1.36,-0.6,71.91,77.34,86.36,68.55,77.09,3893.4,0.99,100.0,0.06,9.63,0.01,0.0,0.02,0.0,0.0,0.68,10.25,A-,Baa1,A+,
2005,9.53,14.11,10412.64,4.71,7.67,4.1,9.23,9.95,3.06,-1344.98,-1.22,-0.7,1.95,-37.38,56,16.86,2.38,4.7,19.1,,9.53,33.36,3.66,46.47,58.22,1.63,1.35,-0.57,72.57,77.35,85.89,69.46,76.71,3846.39,0.79,100.0,0.11,9.49,0.05,0.0,0.02,0.0,0.0,0.67,8.03,A-,Baa1,A+,
2006,9.77,17.02,12639.4,6.78,9.22,4.4,10.77,12.49,1.76,334.08,-2.55,-1.73,2.79,-247.46,56,15.83,2.7,4.6,19.96,,9.77,39.83,5.1,49.56,77.6,1.34,1.35,-0.59,72.69,78.34,86.18,70.89,77.97,3775.04,0.76,100.0,0.13,9.03,0.08,0.0,0.01,0.0,0.0,0.69,5.91,A-,Baa1,A+,
2007,7.58,22.45,16744.58,8.98,11.76,6.6,14.05,16.03,3.03,328.0,-3.32,-1.96,3.27,-186.35,56,15.9,3.57,3.8,20.22,,7.58,40.01,9.73,46.72,85.01,1.26,1.34,-0.46,72.81,79.71,86.04,72.09,81.0,4243.65,0.79,100.0,0.15,11.32,0.09,0.0,0.02,0.0,0.0,0.69,4.59,A-,Baa1,A+,
2008,-5.13,24.34,18204.97,7.7,12.98,10.4,16.16,17.11,1.98,-261.04,-2.16,-0.96,3.97,8.46,56,18.44,4.49,4.5,19.3,,-5.13,31.63,7.54,48.98,91.61,2.07,1.34,-0.27,73.77,80.43,85.47,74.23,81.58,4105.42,1.21,100.0,0.2,9.76,0.13,0.0,0.03,0.0,0.0,0.7,5.45,A-,Baa1,A+,
2009,-14.63,19.63,14711.74,4.12,10.47,-0.1,11.95,10.97,1.87,-100.13,0.53,0.99,3.98,97.65,56,20.53,4.03,7.2,21.52,,-14.63,21.01,-1.87,57.58,103.54,2.75,1.33,-0.19,74.82,80.11,84.46,74.46,81.41,3648.98,1.22,100.0,0.54,7.74,0.2,0.0,0.03,0.0,0.0,0.69,13.55,A-,Baa1,A+,
2010,2.44,19.52,14663.04,4.23,10.24,3.0,14.65,13.4,2.59,98.01,0.34,1.25,2.57,23.0,56,19.56,3.82,6.7,19.82,,2.44,21.69,5.42,56.41,95.41,3.4,1.33,-0.23,75.43,80.71,85.38,74.52,82.23,4222.74,1.9,100.0,1.04,11.2,0.28,0.0,0.03,0.0,0.0,0.68,16.71,A-,Baa1,A+,
2011,7.26,23.21,17464.92,5.95,11.65,5.0,20.08,18.73,1.12,-28.49,0.3,1.35,0.21,173.05,56,18.37,4.26,6.2,19.24,,7.26,25.68,4.09,65.7,80.3,3.01,1.33,-0.3,76.23,82.08,85.62,76.36,84.27,4237.73,2.58,100.0,1.18,11.01,0.37,0.0,0.03,0.0,0.0,0.69,12.33,AA-,Baa1,A+,
2012,3.23,23.02,17404.2,6.76,11.69,3.9,19.85,19.46,1.79,-122.05,-0.43,0.39,0.3,301.37,56,18.2,4.19,9.8,19.95,,3.23,29.36,3.64,65.09,75.49,3.14,1.32,-0.36,76.33,82.56,86.03,76.87,84.8,4174.39,2.13,100.0,1.48,9.86,0.43,0.0,0.04,0.0,0.0,0.68,10.02,AA-,Baa1,A+,
2013,1.46,25.12,19050.59,6.83,12.92,2.8,21.23,20.56,1.1,18.23,0.08,0.67,0.31,-137.37,56,18.64,4.68,10.2,20.17,,1.46,27.2,2.05,65.61,72.17,3.16,1.32,-0.36,77.14,82.73,85.57,77.17,85.46,4623.28,1.6,100.0,1.28,11.28,0.53,0.0,0.03,0.0,0.0,0.68,8.63,AAA,Baa1,A+,
2014,3.01,26.63,20234.12,7.21,13.47,-0.1,21.78,20.85,1.78,-57.88,0.17,0.93,0.44,-78.05,56,18.73,4.98,10.6,20.75,,3.01,27.1,0.06,68.64,69.9,3.09,1.31,-0.26,77.03,82.99,85.94,77.67,85.36,4592.62,1.42,100.0,1.47,10.32,0.6,0.0,0.03,0.0,0.0,0.68,7.35,AAA,Baa1,A+,
2015,1.85,22.89,17395.04,5.72,11.76,-0.5,17.72,16.82,-0.72,-40.39,0.4,0.9,0.41,182.02,56,19.58,4.48,10.1,21.67,,1.85,25.0,-0.17,73.76,71.1,2.9,1.32,0.07,77.59,83.71,85.95,79.3,85.88,4173.33,1.15,100.0,1.64,8.24,0.72,0.01,0.03,0.0,0.0,0.69,6.19,AAA,Baa1,A+,
2016,3.16,24.07,18282.92,6.04,12.38,0.1,18.53,17.66,0.93,47.34,0.3,0.87,0.35,-320.07,56,19.72,4.75,10.0,21.77,,3.16,25.12,2.35,75.8,71.61,2.72,1.32,0.03,77.64,83.64,86.14,79.9,84.87,,1.08,100.0,1.65,9.9,0.59,0.01,0.04,0.0,0.0,0.7,6.76,AAA,Baa1,A+,
2017,5.79,26.92,20387.28,7.09,13.49,3.4,20.36,19.27,1.74,101.94,0.61,1.1,0.35,25.5,56,19.26,5.17,9.1,20.94,,5.79,26.38,3.76,73.53,66.39,2.62,1.32,0.12,78.09,83.89,86.27,80.05,85.34,,1.35,100.0,1.94,10.32,0.72,0.01,0.03,0.0,0.0,0.7,5.76,AAA,Baa1,A+,
2018,4.13,30.49,23052.3,8.2,15.28,3.4,22.69,21.9,1.23,-74.95,0.25,0.8,0.76,-69.24,56,19.2,5.85,8.2,21.05,,4.13,26.91,3.32,74.27,64.4,2.48,1.32,0.35,78.24,82.91,85.62,78.63,84.47,,1.35,100.0,2.09,9.66,0.64,0.03,0.02,0.0,0.0,0.71,5.37,AAA,Baa1,A+,
2019,4.1,31.05,23397.12,8.1,15.47,2.3,22.99,21.7,3.06,-5.33,0.78,1.29,1.43,-372.11,56,19.54,6.07,8.6,21.32,,4.1,26.08,1.8,74.95,60.75,1.79,1.33,0.37,78.5,82.58,86.13,78.49,83.13,,1.14,100.0,2.19,4.61,0.69,0.07,0.02,0.0,0.0,0.7,4.45,AAA,Baa1,A+,
2020,-2.95,30.65,23027.03,9.27,15.26,-0.4,21.82,21.67,,200.27,-0.14,0.08,2.0,-459.79,56,21.25,6.51,19.0,,,-2.95,30.24,-0.88,91.53,68.13,,1.33,0.31,,,,,,,,100.0,1.77,3.29,0.84,0.12,0.04,0.0,0.0,0.7,6.8,AAA,Baa1,A+,-0.18
1976,4.36,372.32,6866.82,98.51,203.26,9.6,71.99,75.45,0.98,,-3.36,-1.15,19.23,1005.97,62,19.88,74.01,,18.84,,,,,63.18,44.84,,54.22,0.53,73.1,70.04,50.18,91.75,68.18,3247.75,0.25,,,,,,,,,,,AAA,Baa1,AAA,11.04
1977,3.46,410.28,7532.53,104.97,223.28,9.5,83.01,83.71,1.9,,-0.41,1.79,22.64,927.41,62,20.16,82.72,,18.24,,,,,63.98,47.68,,54.47,0.46,73.35,69.54,51.21,91.95,65.46,3172.81,0.23,,,,,,,,,,,AAA,Baa1,AAA,11.07
1978,3.98,506.71,9264.78,123.2,274.09,9.3,102.57,97.27,2.47,,7.06,9.08,32.33,-62.91,62,20.55,104.12,21.2,18.26,,,,,73.71,82.69,,54.69,0.41,73.6,71.19,52.69,94.11,66.77,3369.34,0.18,,,,,,,,,,,AAA,Baa1,AAA,9.94
1979,3.55,613.95,11179.63,152.61,333.28,10.6,127.19,124.74,2.59,,5.14,6.94,59.52,555.75,62,20.46,125.61,21.2,18.83,,,,,73.8,82.1,,54.92,0.41,73.85,71.82,54.68,94.2,66.57,3495.9,0.2,,,,,,,,,,,AAA,Baa1,AAA,12.59
1980,1.58,701.29,12713.37,180.57,383.91,13.6,147.15,157.93,3.28,,-4.21,-2.72,75.59,2271.72,62,21.05,147.59,20.8,19.29,,1.81,25.75,13.73,71.1,81.51,68.26,55.16,0.44,74.05,72.85,57.2,94.3,67.04,3476.52,0.23,,69.38,117.99,0.0,0.0,68.25,63.42,0.0,,,AAA,Baa1,AAA,14.31
1981,1.07,615.55,11104.98,144.77,345.94,13.3,135.24,144.29,2.47,,-4.81,-2.19,54.8,-2286.05,62,21.75,133.9,22.0,19.37,,1.1,23.52,13.89,69.62,82.41,73.26,55.43,0.49,74.3,73.95,60.36,94.8,66.68,3379.17,0.23,,71.59,91.39,0.0,0.0,70.36,99.24,0.0,,,AAA,Baa1,AAA,16.44
1982,2.51,584.88,10496.93,139.19,330.2,12.0,125.16,139.51,1.59,,-12.08,-7.64,53.93,-961.21,62,22.2,129.85,25.4,19.6,,2.4,23.8,9.69,67.25,83.69,,55.72,0.52,74.5,73.01,57.91,95.01,66.11,3280.26,0.21,,70.24,91.95,0.0,0.0,68.6,102.63,0.0,,,AAA,Baa1,AAA,15.4
1983,1.24,559.87,9993.42,121.77,314.43,9.5,125.61,127.11,1.73,376.4,-5.17,0.17,51.08,355.98,62,22.36,125.16,26.7,19.44,,1.31,21.75,9.29,67.24,84.23,,56.02,0.55,74.8,74.54,60.55,95.12,67.95,3347.53,0.2,,68.77,75.85,0.0,0.0,67.52,135.99,0.0,,,AAA,Baa1,AAA,13.96
1984,1.51,530.68,9419.7,112.66,297.77,7.7,126.49,125.81,2.4,202.77,-0.88,4.41,46.17,648.7,62,22.53,119.57,29.1,19.57,,1.67,21.23,6.69,67.21,85.86,,56.34,0.56,75.0,74.99,61.94,95.04,67.98,3448.5,0.18,,65.47,60.96,0.0,0.0,64.01,180.47,0.0,,,AAA,Baa1,AAA,12.7
1985,1.62,553.14,9763.33,117.09,313.16,5.8,129.02,131.05,2.6,1996.05,-0.03,4.85,53.35,288.05,62,22.58,124.92,30.7,19.65,,1.61,21.17,4.7,66.96,86.83,,56.65,0.56,75.3,75.58,63.06,95.16,68.52,3597.64,0.18,,61.57,52.25,0.0,0.0,60.25,211.19,0.0,,,AAA,Baa1,AAA,11.33
1986,2.34,771.47,13540.25,167.85,432.47,2.5,157.25,158.19,3.26,4186.46,2.43,8.7,63.45,811.67,62,22.31,172.08,31.3,19.66,,2.25,21.76,2.12,67.02,89.46,,56.98,0.57,75.6,74.47,60.12,94.26,69.03,3632.92,0.11,,62.36,40.55,0.0,0.0,60.95,239.56,0.0,,,AAA,Baa1,AAA,9.89
1987,2.56,934.17,16302.45,207.97,529.57,3.3,183.07,193.33,5.14,3412.42,-4.45,2.61,72.67,846.87,62,22.15,206.88,33.7,19.87,,2.62,22.26,3.12,66.09,93.47,,57.3,0.57,75.8,73.65,59.46,93.11,68.38,3702.24,0.09,,70.04,37.36,0.0,0.0,68.62,249.27,0.0,,,AAA,Baa1,AAA,10.0
1988,4.74,1018.85,17680.0,237.83,566.67,2.7,207.51,214.22,8.49,1745.99,-4.62,3.03,58.94,970.29,62,21.7,221.06,33.6,19.21,,4.56,23.34,3.08,64.13,95.06,,57.63,0.56,76.1,73.71,59.91,92.12,69.11,3665.57,0.1,,75.34,35.74,0.0,0.0,73.95,260.29,0.0,,,AAA,Baa1,AAA,8.7
1989,4.34,1025.21,17694.31,248.8,566.74,3.5,222.04,229.07,10.3,6999.04,-4.67,3.29,57.43,-6234.48,62,21.14,216.7,34.4,18.91,,4.47,24.27,3.56,62.5,97.75,69.82,57.94,0.54,76.35,74.11,62.47,90.73,69.13,3795.9,0.12,,47.78,48.49,0.0,0.0,45.74,288.72,0.0,,,AAA,Baa1,AAA,9.12
1990,2.92,1269.18,21793.84,309.8,700.66,3.2,266.22,276.18,13.18,5897.73,-9.94,2.15,68.29,280.15,62,21.17,268.67,35.6,18.73,,3.03,24.41,3.21,61.1,101.86,64.67,58.24,0.51,76.6,74.82,64.13,90.67,69.66,3846.63,0.11,100.0,55.0,44.29,0.0,0.0,52.8,298.38,0.0,25.84,,AAA,Baa1,AAA,9.92
1991,1.05,1269.28,21675.06,299.58,698.82,3.2,270.8,274.78,15.15,7662.89,-6.52,6.7,60.23,4462.7,62,21.66,274.86,36.5,18.92,,0.95,23.6,3.26,58.5,101.81,57.73,58.56,0.55,76.85,77.0,65.56,94.74,70.7,4043.1,0.08,100.0,58.67,56.72,0.0,0.0,56.28,314.77,0.0,25.83,9.13,AAA,Baa1,AAA,8.8
1992,1.6,1401.47,23813.71,307.76,772.37,2.4,298.94,289.56,21.84,5407.05,3.89,21.49,54.31,1958.33,62,22.26,311.96,40.2,18.47,,1.48,21.96,2.01,57.18,102.83,61.76,58.85,0.5,77.1,77.7,66.09,95.97,71.05,3954.0,0.08,100.0,70.75,47.22,0.0,0.0,68.31,321.52,0.0,26.04,10.21,AAA,Baa1,AAA,8.2
1993,-0.63,1322.82,22380.11,258.52,732.41,2.1,275.05,252.82,20.75,13579.07,8.99,24.36,54.62,2763.02,62,23.41,309.66,46.6,18.38,,-0.56,19.54,2.23,58.88,100.25,69.91,59.11,0.43,77.3,79.05,68.94,97.01,71.2,4001.9,0.07,100.0,66.6,32.28,0.0,0.0,64.3,349.78,0.0,26.17,11.32,AAA,Baa1,AAA,5.8
1994,2.36,1393.98,23496.52,283.22,766.72,1.7,301.94,281.11,15.8,5256.35,7.42,25.1,57.63,-10896.19,62,23.19,323.21,49.9,19.08,,2.34,20.32,1.43,60.74,99.01,,59.33,0.37,77.65,78.31,66.24,97.17,71.54,3836.11,0.07,100.0,80.55,31.38,0.01,0.0,78.06,341.98,0.0,26.25,12.59,AAA,Baa1,AAA,8.02
1995,2.11,1601.09,26890.22,328.43,875.97,1.8,362.21,336.6,23.74,6822.83,10.84,28.97,58.51,-3043.07,62,23.18,371.08,56.1,19.46,,2.23,20.51,2.12,65.19,100.36,,59.54,0.36,77.75,78.55,66.46,97.28,71.91,3981.35,0.07,100.0,74.96,35.79,0.01,0.0,72.2,358.37,0.0,26.39,11.84,AAA,Baa1,AAA,6.75
1996,1.41,1605.68,26871.83,315.07,885.15,2.0,370.2,341.59,21.97,12203.3,20.56,31.19,57.02,1142.11,62,23.47,376.85,60.0,20.39,,1.39,19.62,1.7,65.95,100.05,,59.75,0.35,77.95,78.74,67.54,96.08,72.59,4191.92,0.07,100.0,67.38,40.34,0.01,0.0,64.43,377.47,0.0,26.72,12.37,AAA,Baa1,AAA,5.74
1997,2.34,1452.88,24228.95,282.62,786.51,1.2,370.82,327.05,23.05,11965.27,37.8,43.52,54.69,4265.66,62,23.4,339.99,61.4,21.1,,2.3,19.45,1.14,68.53,100.4,,59.96,0.35,78.3,80.08,70.97,95.71,73.56,4049.23,0.06,100.0,66.45,36.18,0.01,0.0,63.15,375.71,0.0,26.69,12.57,AAA,Baa1,AAA,5.32
1998,3.59,1503.11,24974.27,310.85,811.05,0.7,392.71,351.43,29.52,17210.83,37.7,42.17,73.77,9943.23,62,22.62,339.93,61.4,23.03,,3.62,20.68,0.24,,,,60.19,0.37,78.6,81.14,73.05,96.14,74.22,4151.63,0.05,100.0,64.79,50.7,0.02,0.0,61.48,368.59,0.0,26.86,12.07,AAA,Baa1,AAA,3.91
1999,3.42,1493.15,24673.2,318.89,800.25,0.5,389.23,353.52,45.97,49371.25,50.69,37.92,67.93,-7957.99,62,22.63,337.8,60.5,23.63,,3.28,21.36,1.36,,,,60.5,0.51,78.76,81.76,74.56,96.16,74.55,4123.53,0.05,100.0,75.61,46.28,0.04,0.0,71.83,374.53,0.0,27.16,11.98,AAA,Baa1,AAA,5.27
2000,3.92,1365.64,22364.03,306.34,733.67,1.7,389.53,371.43,41.39,49966.13,16.13,12.92,63.73,20711.23,62,22.33,304.13,58.9,23.39,,4.09,22.49,1.81,,,,60.91,0.68,79.06,83.56,77.32,96.6,76.75,4135.48,0.07,100.0,70.68,46.57,0.05,0.01,66.47,394.4,0.0,27.36,10.22,AAA,Baa1,AAA,5.04
2001,1.98,1377.66,22433.55,305.09,744.95,1.6,389.07,367.43,50.14,13653.52,20.97,17.87,58.64,-5061.95,62,22.14,304.77,58.3,23.37,,2.01,22.17,1.5,62.49,94.48,17.52,61.36,0.73,79.16,83.73,76.87,96.43,77.9,4246.0,0.06,100.0,78.88,42.3,0.13,0.01,73.89,400.02,0.0,27.43,8.61,AAA,Baa1,AAA,4.87
2002,1.14,1501.41,24177.34,318.52,806.51,1.9,411.39,381.66,51.55,-4373.75,17.65,27.61,61.7,-11559.97,62,22.72,339.52,60.3,22.57,,1.12,21.32,2.19,64.82,93.63,17.58,61.81,0.73,79.26,83.64,75.4,96.29,79.22,4225.47,0.06,100.0,65.38,48.06,0.27,0.01,59.99,414.92,0.0,27.76,8.7,AAA,Baa1,AAA,4.38
2003,0.82,1844.54,29568.39,389.93,998.36,2.1,480.59,454.34,42.35,20740.73,15.98,24.04,70.76,-29889.86,62,23.14,425.95,64.4,22.12,,0.84,21.19,2.41,69.85,93.92,18.37,62.24,0.71,79.11,83.68,74.59,96.75,79.7,4270.95,0.05,100.0,64.38,52.39,0.39,0.01,58.57,419.02,0.0,28.32,8.31,AAA,Baa1,AAA,4.34
2004,2.83,2119.63,33741.26,463.13,1143.62,2.1,560.01,538.59,35.61,31812.51,9.17,17.36,77.35,220.69,62,23.04,487.57,65.9,22.16,,2.58,21.89,2.24,72.04,93.93,17.33,62.7,0.74,80.16,84.06,74.81,97.04,80.34,4301.74,0.04,100.0,65.43,51.52,0.6,0.01,59.28,425.83,0.0,28.5,8.91,AAA,Baa1,AAA,3.64
2005,1.66,2196.95,34760.18,493.09,1194.58,1.7,593.68,591.8,85.14,64143.82,-0.14,-0.28,74.36,-11768.24,62,23.07,506.58,67.4,22.3,,1.72,22.45,1.73,74.78,98.23,18.09,63.18,0.75,80.16,84.2,75.04,97.32,80.25,4287.16,0.04,100.0,57.44,58.0,0.96,0.01,50.97,431.18,0.0,28.79,8.49,AAA,Baa1,AAA,3.38
2006,2.45,2320.54,36443.63,538.79,1257.52,1.7,647.7,653.11,78.96,94019.16,0.51,-8.15,98.24,-31322.76,62,22.76,527.69,64.6,22.58,,2.63,23.24,1.68,77.92,100.91,16.69,63.62,0.7,80.81,84.78,75.58,97.76,81.0,4188.84,0.05,100.0,63.35,51.98,2.18,0.01,55.74,429.82,0.0,28.94,8.45,AAA,Baa1,AAA,3.81
2007,2.42,2660.59,41508.43,642.11,1437.99,1.5,740.12,759.1,83.78,-10376.85,-8.72,-18.51,115.49,8728.8,62,22.43,596.1,64.5,22.12,,2.42,24.17,2.79,82.14,105.19,16.41,64.02,0.62,81.11,86.17,76.18,98.38,83.95,4115.53,0.05,100.0,67.41,52.97,4.07,0.02,57.03,420.13,0.0,29.19,7.66,AAA,Baa1,AAA,4.35
2008,0.25,2930.3,45334.12,704.2,1589.52,2.8,820.63,854.44,68.0,-18174.54,-28.16,-41.91,103.31,-18938.35,62,22.56,658.46,68.8,22.01,,0.11,24.13,1.16,88.05,108.73,16.23,64.37,0.56,81.21,85.89,75.1,98.53,84.03,4110.59,0.06,100.0,75.28,50.92,5.69,0.04,63.02,419.8,0.0,29.4,7.06,AAA,Baa1,AAA,3.54
2009,-2.87,2700.89,41575.42,573.91,1489.78,0.1,668.13,689.42,18.42,67030.75,-22.1,-32.83,131.79,-33436.3,62,24.08,647.83,83.0,20.7,,-2.78,21.33,0.99,90.81,113.41,18.37,64.71,0.51,81.41,85.62,74.17,98.54,84.14,3913.46,0.05,100.0,71.35,46.38,7.91,0.17,56.43,391.75,0.0,29.65,8.74,AAA,Baa1,AAA,3.48
2010,1.95,2645.19,40638.34,579.95,1462.83,1.5,707.91,742.03,38.89,-5013.62,-22.03,-43.52,165.85,21212.23,62,23.99,633.94,85.26,21.95,,1.84,21.95,1.99,90.72,114.24,18.39,65.03,0.49,81.66,86.41,75.64,98.59,85.0,4016.85,0.06,100.0,79.59,52.26,9.95,0.62,61.95,410.09,0.0,29.74,8.87,AAA,Baa1,AAA,3.34
2011,2.19,2865.16,43790.73,664.44,1573.27,2.1,813.25,868.99,44.21,8350.89,-29.51,-56.66,168.49,-45120.03,62,23.74,679.43,87.83,21.82,,2.24,23.22,2.63,88.17,113.69,16.9,65.34,0.48,82.11,86.46,75.02,98.47,85.9,3847.07,0.06,100.0,68.16,53.79,12.37,2.33,45.18,423.51,0.06,29.75,8.81,AAA,Baa1,AAA,3.16
2012,0.31,2683.67,40874.7,607.26,1468.56,2.0,783.76,818.54,32.94,37063.04,-32.88,-37.82,184.52,-15909.91,62,23.95,642.79,90.6,22.53,,0.37,22.63,1.52,90.95,115.19,18.65,65.66,0.48,81.97,86.89,75.22,98.35,87.09,3836.66,0.05,100.0,87.41,50.91,15.18,4.43,59.1,407.44,0.06,29.98,9.4,AAA,Baa1,AAA,2.01
2013,0.58,2811.88,42592.93,626.51,1535.85,0.9,825.47,854.55,31.59,34370.05,-24.38,-30.6,145.16,2934.5,62,24.11,677.8,93.41,23.21,,0.62,22.29,0.84,90.0,114.46,18.45,66.0,0.51,82.22,86.76,74.85,98.24,87.18,3833.53,0.05,100.0,101.32,48.05,16.13,5.19,71.04,403.7,0.09,30.13,9.92,AAA,Baa1,AA+,2.33
2014,0.96,2855.96,43011.26,647.72,1549.0,0.5,846.14,878.81,5.8,10029.63,-37.35,-36.23,143.98,21930.44,62,24.13,688.11,94.89,23.16,,0.98,22.71,0.11,91.38,113.02,18.95,66.31,0.47,82.72,87.69,77.44,98.27,87.36,3659.09,0.05,100.0,96.03,31.4,17.32,6.39,62.99,418.0,0.08,30.07,10.29,AAA,Baa1,AA,0.92
2015,1.11,2439.19,36638.18,553.77,1317.76,0.0,745.91,759.72,42.83,11714.12,-9.13,-9.83,138.2,8991.35,62,23.81,580.49,95.58,23.2,,1.04,22.71,0.29,92.97,112.96,17.88,66.55,0.36,82.32,87.5,77.27,98.28,86.94,3692.02,0.04,100.0,94.1,39.81,21.42,7.75,54.88,419.02,0.09,30.16,10.35,AAA,Baa1,AA,0.93
2016,1.1,2472.96,37037.38,558.74,1341.0,0.2,747.5,762.46,32.8,31371.26,-12.21,-13.24,145.87,-8255.58,62,23.73,586.49,97.96,23.06,,1.03,22.61,0.81,96.45,113.58,16.92,66.72,0.26,82.57,87.27,77.55,98.17,86.09,,0.04,100.0,101.19,50.94,21.38,8.66,60.09,386.45,0.1,30.22,10.05,AAA,Baa1,AA,0.75
